"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.codec.net.QuotedPrintableCodec:410","true","false",5,3,0,10,25,4,3,3,2,0.6,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:354","false","false",1,1,0,1,1,1,1,1,1,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:353","true","true",1,1,0,1,1,1,1,1,1,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:356","true","false",0,0,0,16,41,5,3.25,4,1,0,0.6875,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:363","true","true",1,1,0,3,6,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:362","true","true",5,5,1,3,6,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:365","true","false",1,1,0,13,34,5,4,4,3,0,0.692307692307692,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:366","true","false",1,0,0,13,34,5,4,4,3,0,0.692307692307692,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:367","true","true",3,3,0,13,34,5,4,4,3,0,0.692307692307692,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:360","true","true",17,16,2,13,34,5,4,4,3,0,0.692307692307692,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:373","true","true",1,1,0,12,33,5,4,4,3,0,0.666666666666667,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:371","true","true",8,7,0,12,33,5,4,4,3,0,0.666666666666667,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:359","true","true",29,25,2,15,40,5,4,4,3,0,0.666666666666667,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:357","true","true",32,27,2,15,40,5,4,4,3,0,0.666666666666667,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:376","true","false",2,1,0,16,41,5,3.25,4,1,0,0.6875,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:392","true","false",1,0,0,13,29,4,2.5,3,1,0.538461538461538,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:254","true","false",3,2,0,6,17,6,4,5,1,0,0.166666666666667,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:275","false","false",1,1,0,1,1,2,2,2,2,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:274","true","true",2,2,0,1,1,2,2,2,2,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:278","true","true",2,0,0,1,2,2,2,2,2,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:277","true","true",7,4,0,1,2,2,2,2,2,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:280","true","false",1,0,0,19,46,7,4.5,5,2,0,0.736842105263158,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:283","true","false",3,0,0,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:287","true","false",2,0,0,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:290","true","true",5,5,1,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:290","true","true",5,5,1,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:293","true","true",1,1,0,2,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:296","true","true",1,1,0,2,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:297","true","true",3,2,0,2,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:298","true","true",1,1,0,2,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:299","true","true",4,4,1,2,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:288","true","true",17,16,2,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:286","true","true",24,21,3,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:305","true","false",2,0,0,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:306","true","false",3,0,0,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:307","true","true",7,7,3,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:307","true","true",7,7,3,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:313","true","true",3,2,0,1,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:314","true","true",2,1,0,1,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:315","true","true",2,1,0,1,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:312","true","true",10,4,0,1,4,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:318","true","true",0,0,0,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:320","true","true",0,0,0,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:321","true","true",3,3,2,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:317","true","true",5,4,2,5,11,4,4,4,4,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:325","true","false",1,0,0,13,34,7,4.5,5,2,0,0.615384615384615,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:327","true","true",2,2,0,3,9,6,4.33333333333333,4,3,0,0.666666666666667,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:326","true","true",4,4,0,3,9,6,4.33333333333333,4,3,0,0.666666666666667,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:330","true","true",3,3,1,11,30,7,4.5,5,2,0,0.636363636363636,0,1
"org.apache.commons.codec.net.QuotedPrintableCodec:332","true","true",1,1,0,11,28,7,4.5,5,2,0,0.636363636363636,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:329","true","true",9,9,2,13,34,7,4.5,5,2,0,0.615384615384615,0,1
"org.apache.commons.codec.net.QuotedPrintableCodec:324","true","true",15,14,2,13,34,7,4.5,5,2,0,0.615384615384615,0,1
"org.apache.commons.codec.net.QuotedPrintableCodec:282","true","true",71,52,10,19,46,7,4.5,5,2,0,0.736842105263158,0,1
"org.apache.commons.codec.net.QuotedPrintableCodec:336","true","false",1,1,0,19,46,7,4.5,5,2,0,0.736842105263158,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:223","true","false",4,3,0,4,9,5,5,5,5,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:225","true","true",5,2,0,5,11,5,5,5,5,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:226","true","false",0,0,0,5,11,5,5,5,5,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:222","true","true",15,10,0,5,11,5,5,5,5,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:183","true","true",2,1,0,15,37,8,5.5,6,3,0,0.733333333333333,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:184","true","false",4,0,0,15,37,8,5.5,6,3,0,0.733333333333333,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:185","true","false",2,0,0,15,37,8,5.5,6,3,0,0.733333333333333,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:186","true","true",4,1,0,15,37,8,5.5,6,3,0,0.733333333333333,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:187","true","true",3,0,0,15,37,8,5.5,6,3,0,0.733333333333333,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:188","true","false",5,2,0,15,37,8,5.5,6,3,0,0.733333333333333,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:202","true","false",0,0,0,5,11,5,5,5,5,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:206","true","false",2,1,0,5,11,5,5,5,5,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:529","false","false",0,0,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:531","true","false",3,0,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:533","true","false",3,1,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:535","true","true",3,1,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:532","true","true",8,2,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:530","true","true",15,2,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:528","true","true",22,2,0,1,4,1,1,1,1,1,1,0,0
