"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.io.monitor.FileAlterationObserver:383","true","true",14,8,0,4,65,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:414","true","true",11,11,0,1,17,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:416","true","true",11,11,1,3,51,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:413","true","true",29,28,1,3,51,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:412","true","true",38,34,2,3,51,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:398","true","true",13,5,1,3,48,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:400","true","true",7,1,0,3,48,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:397","true","true",34,14,3,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:396","true","true",49,21,6,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:395","true","true",63,28,8,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:274","true","true",1,1,0,2,4,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:275","true","false",2,0,0,2,4,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:276","false","false",0,0,0,2,4,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:280","true","true",7,6,5,2,4,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:254","true","true",11,6,1,1,6,1,1,1,1,1,0,1,1
"org.apache.commons.io.monitor.FileAlterationObserver:253","true","true",22,13,3,1,6,1,1,1,1,1,0,1,1
"org.apache.commons.io.monitor.FileEntry:257","true","false",8,3,0,5,82,5,4.5,5,4,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:238","true","false",8,4,2,1,17,2,2,2,2,0,0,2,0
"org.apache.commons.io.monitor.FileEntry:96","true","false",4,0,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:97","true","false",9,4,1,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:98","true","false",4,0,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:99","true","false",9,5,4,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:102","true","true",10,10,9,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:103","true","true",10,9,2,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:104","true","true",0,0,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:105","true","true",0,0,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:106","true","true",0,0,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:109","true","false",0,0,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:172","true","false",0,0,0,8,89,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:125","false","false",0,0,0,5,82,5,4.5,5,4,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:154","false","false",0,0,0,5,82,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.monitor.FileEntry:163","true","true",1,1,0,7,86,5,3.5,4,2,0,0,0,0
"org.apache.commons.io.input.AutoCloseInputStream:77","true","true",5,3,1,4,16,2,2,2,2,0,1,0,0
"org.apache.commons.io.input.AutoCloseInputStream:76","true","true",19,15,2,4,16,2,2,2,2,0,1,0,0
"org.apache.commons.io.input.AutoCloseInputStream:63","true","true",8,5,1,4,16,3,2,2,1,0.25,1,0,0
"org.apache.commons.io.input.AutoCloseInputStream:64","true","true",3,3,1,4,16,3,2,2,1,0.25,1,0,0
"org.apache.commons.io.input.AutoCloseInputStream:89","true","true",8,6,5,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.input.AutoCloseInputStream:90","true","true",1,1,1,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.input.BOMInputStream:140","true","false",0,0,0,24,17,2,2,2,2,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:141","true","false",0,0,0,24,17,2,2,2,2,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:143","true","false",0,0,0,2,8,2,2,2,2,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:142","true","true",0,0,0,2,8,2,2,2,2,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:146","true","false",0,0,0,23,9,2,2,2,2,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:145","true","true",0,0,0,23,9,2,2,2,2,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:148","true","false",0,0,0,24,17,2,2,2,2,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:165","true","true",16,10,0,1,2,1,1,1,1,0,1,0,0
"org.apache.commons.io.input.BOMInputStream:182","true","false",4,2,0,8,59,1,1,1,1,0,1,0,0
"org.apache.commons.io.input.BOMInputStream:198","true","true",13,10,0,1,7,1,1,1,1,0,1,0,0
"org.apache.commons.io.input.BOMInputStream:197","true","true",20,14,2,1,7,1,1,1,1,0,1,0,0
"org.apache.commons.io.input.BOMInputStream:200","true","false",6,4,0,8,59,1,1,1,1,0,1,0,0
"org.apache.commons.io.input.BOMInputStream:294","true","false",5,2,0,35,36,6,5,5,4,0,0.342857142857143,0,0
"org.apache.commons.io.input.BOMInputStream:293","true","true",17,11,1,35,36,6,5,5,4,0,0.342857142857143,0,0
"org.apache.commons.io.input.BOMInputStream:292","true","true",20,12,1,47,84,6,4.5,5,3,0,0.51063829787234,0,0
"org.apache.commons.io.input.BOMInputStream:297","true","false",5,2,0,47,84,6,4.5,5,3,0,0.51063829787234,0,0
"org.apache.commons.io.input.BOMInputStream:313","true","false",9,0,0,38,82,3,2,3,1,0.342105263157895,0.394736842105263,0,0
"org.apache.commons.io.input.BOMInputStream:314","true","false",13,7,0,38,82,3,2,3,1,0.342105263157895,0.394736842105263,0,0
"org.apache.commons.io.input.BOMInputStream:357","true","false",13,1,0,7,2,1,1,1,1,0.428571428571429,1,0,0
"org.apache.commons.io.input.BOMInputStream:332","true","false",2,0,0,23,7,6,3.5,5,1,0.130434782608696,0.391304347826087,0,0
"org.apache.commons.io.input.BOMInputStream:333","true","false",3,0,0,23,7,6,3.5,5,1,0.130434782608696,0.391304347826087,0,0
"org.apache.commons.io.input.BOMInputStream:335","true","true",9,6,2,23,7,6,3.5,5,1,0.130434782608696,0.391304347826087,0,0
"org.apache.commons.io.input.BOMInputStream:337","true","true",22,22,4,18,5,5,2.66666666666667,2,1,0.111111111111111,0.222222222222222,0,0
"org.apache.commons.io.input.BOMInputStream:337","true","true",22,22,4,18,5,5,2.66666666666667,2,1,0.111111111111111,0.222222222222222,0,0
"org.apache.commons.io.input.BOMInputStream:338","true","true",14,13,1,18,5,5,2.66666666666667,2,1,0.111111111111111,0.222222222222222,0,0
"org.apache.commons.io.input.BOMInputStream:339","true","true",8,8,2,18,5,5,2.66666666666667,2,1,0.111111111111111,0.222222222222222,0,0
"org.apache.commons.io.input.BOMInputStream:336","true","true",56,55,8,18,5,5,2.66666666666667,2,1,0.111111111111111,0.222222222222222,0,0
"org.apache.commons.io.input.BOMInputStream:334","true","true",75,68,11,23,7,6,3.5,5,1,0.130434782608696,0.391304347826087,0,0
"org.apache.commons.io.input.BOMInputStream:342","true","false",13,5,0,23,7,6,3.5,5,1,0.130434782608696,0.391304347826087,0,0
"org.apache.commons.io.input.BOMInputStream:343","true","false",19,5,0,23,7,6,3.5,5,1,0.130434782608696,0.391304347826087,0,0
"org.apache.commons.io.input.BOMInputStream:263","true","false",7,0,0,47,84,7,4.4,4,2,0,0.51063829787234,0,0
"org.apache.commons.io.input.BOMInputStream:248","true","true",1,1,0,23,9,1,1,1,1,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:249","true","false",6,3,0,23,9,1,1,1,1,0,0,0,0
"org.apache.commons.io.input.BOMInputStream:401","true","true",9,9,0,1,1,1,1,1,1,1,1,0,0
