uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
9621ed09-2e5d-11e5-b0cc-8d57aabea1e8;adrStmt;replace;org.apache.commons.lang3.CharEncoding:99;-1;0;0;0;0;0;5;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
1c54f510-2e27-11e5-b5ab-55e940b338de;adrStmt;replace;org.apache.commons.lang3.StringUtils:5133;1;1;2;0;0;0;1;2;2.0;2.0;2.0;true;CtReturnImpl;CtReturnImpl
056ba63a-2e3a-11e5-bd95-75ddcb87e95d;adrStmt;replace;org.apache.commons.lang3.exception.ExceptionUtils:372;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtReturnImpl;CtIfImpl
eba45ddd-2c0e-11e5-bc10-bd23c5095830;adrStmt;add;org.apache.commons.lang3.text.StrBuilder:1444;1;0;0;0;0;0;3;2;1.5;2.0;1.0;true;CtInvocationImpl;CtIfImpl
087eaef7-2e1c-11e5-81e5-09cdaafc2aa9;adrStmt;replace;org.apache.commons.lang3.text.translate.CodePointTranslator:38;-2;0;0;0;0;0;18;5;4.0;4.0;3.0;false;CtLocalVariableImpl;CtLocalVariableImpl
8edc4aaf-2e49-11e5-8f43-e3d10c7d5650;adrStmt;replace;org.apache.commons.lang3.time.DateUtils:1185;-2;0;0;0;0;0;3;3;2.0;2.0;1.0;false;CtSwitchImpl;CtIfImpl
7635b307-2e20-11e5-971e-6bb5fcf8f47a;adrStmt;add;org.apache.commons.lang3.builder.ToStringStyle:412;-2;0;0;0;0;0;147;16;7.571428571428571;6.0;3.0;false;CtLocalVariableImpl;CtLocalVariableImpl
3dcb4bb3-2e2c-11e5-a7a6-3d9d8bb7a493;adrStmt;replace;org.apache.commons.lang3.time.DateFormatUtils:188;-1;0;0;0;0;0;2;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
c900fd57-2e1e-11e5-8d5e-ebaad846316f;adrStmt;replace;org.apache.commons.lang3.builder.CompareToBuilder:443;-1;0;0;0;0;0;17;5;3.0;3.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
b57303a0-2c1f-11e5-af02-f534e427e2be;adrStmt;replace;org.apache.commons.lang3.Validate:179;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtIfImpl;CtIfImpl
7a4b169e-2e2f-11e5-b483-71e5efec3ce1;adrStmt;add;org.apache.commons.lang3.builder.EqualsBuilder:483;-1;0;0;0;0;0;19;5;3.0;3.0;1.0;false;CtInvocationImpl;CtInvocationImpl
