uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
a54db5a4-4386-11e5-8c76-8f9c3b136710;adrStmt;add;org.apache.commons.codec.language.DoubleMetaphone:483;-2;0;0;0;0;0;4;4;3.5;4.0;3.0;false;CtIfImpl;CtIfImpl
8401c241-42f0-11e5-aa35-1165b605d654;adrStmt;delete;org.apache.commons.codec.binary.BaseNCodec:270;-1;0;0;0;0;0;95;42;22.0;22.0;2.0;false;CtReturnImpl;NA
a7005d6e-43c7-11e5-adea-e9f5be014b5a;adrStmt;replace;org.apache.commons.codec.language.DoubleMetaphone:114;-1;0;0;0;0;0;15;4;2.5;3.0;1.0;false;CtUnaryOperatorImpl;CtOperatorAssignmentImpl
a9d5943d-42ad-11e5-b454-93b4711bc134;adrStmt;replace;org.apache.commons.codec.binary.BaseNCodec:464;-2;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtForImpl;CtForImpl
649354ca-43ca-11e5-838a-57b82d826a41;adrStmt;replace;org.apache.commons.codec.binary.Hex:161;-2;0;0;0;0;0;27;3;2.0;2.0;1.0;false;CtReturnImpl;CtIfImpl
8cea530a-42ec-11e5-b7ba-abcf20950982;adrStmt;delete;org.apache.commons.codec.language.Nysiis:315;-2;0;0;0;0;0;22;2;2.0;2.0;2.0;false;CtLocalVariableImpl;NA
04914524-42ae-11e5-bac1-33dd7ad03953;adrStmt;replace;org.apache.commons.codec.language.DoubleMetaphone:363;-1;0;0;0;0;0;4;4;3.5;4.0;3.0;false;CtIfImpl;CtReturnImpl
da1c5dfa-42f9-11e5-95cf-4f15ceeddfd2;adrStmt;replace;org.apache.commons.codec.language.DaitchMokotoffSoundex:436;-2;0;0;0;0;0;6;2;1.5;2.0;1.0;false;CtReturnImpl;CtIfImpl
c7e0b982-42dc-11e5-9c07-49716935b0f1;adrStmt;replace;org.apache.commons.codec.language.Caverphone1:100;1;0;0;0;0;0;8;2;1.5;2.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
fea2d905-42e4-11e5-9a1e-07b14ed3a668;adrStmt;add;org.apache.commons.codec.language.Caverphone1:96;1;0;0;0;0;0;8;2;1.5;2.0;1.0;true;CtAssignmentImpl;CtAssignmentImpl
